date,mm
2016-06-21,4.0
2016-06-22,0.6
2016-06-23,0.9
2016-06-24,13.1
2016-06-25,9.8
2016-06-26,1.3
2016-06-27,0.3
2016-06-28,0.6
2016-06-29,2.5
2016-06-30,10.4
2016-07-01,1.4
2016-07-02,9.8
2016-07-03,0.2
2016-07-04,0.1
2016-07-05,6.0
2016-07-06,0.3
2016-07-07,0.0
2016-07-08,2.5
2016-07-09,0.7
2016-07-10,1.7
2016-07-11,7.1
2016-07-12,13.4
2016-07-13,5.5
2016-07-14,6.9
2016-07-15,0.1
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,2.7
2016-07-19,3.0
2016-07-20,4.2
2016-07-21,3.7
2016-07-22,4.7
2016-07-23,3.8
2016-07-24,4.0
2016-07-25,2.6
2016-07-26,1.7
2016-07-27,2.0
2016-07-28,0.7
2016-07-29,0.6
2016-07-30,2.9
2016-07-31,11.3
2016-08-01,0.7
2016-08-02,0.5
2016-08-03,0.1
2016-08-04,19.0
2016-08-05,14.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,1.8
2016-08-09,9.8
